id;tipo;tipo_calle;nombre;barrio;pais;provincia;departamento;localidad
1;1;calle;La Ramada  De Abajo;;1;1;10;7
2;1;calle;Pje Benito Lynch 4600 (oficina);;1;1;1;14
3;1;calle;"Ayacucho 34- 1 Piso ""a""";;1;1;1;14
4;1;calle;Bernabe Aráoz 107;;1;1;1;14
5;1;calle;Las Piedras 707;;1;1;1;14
6;1;calle;La Rioja 142;;1;1;1;14
7;1;calle;Ruta 9 Km 1285 - Zona Franca;;1;1;2;15
8;1;calle;San Jose De Buena Vista-bº La Pinto;;1;1;11;23
9;1;calle;Autopista J D Peron Km 2;;1;1;2;16
10;1;calle;Rivadavia 161-;;1;1;14;29
11;1;calle;Pasaje Ibatin 167;;1;1;2;15
12;1;calle;Las Piedras 1285;;1;1;1;14
13;1;calle;San Juan 313;;1;1;1;14
14;1;calle;Las Tuquitas 0;;1;1;9;56
15;1;avda;Av Ejercito Del Norte 651;;1;1;1;14
16;1;calle;Ruta 304 Km 11,5;;1;1;10;31
17;1;calle;Mendoza 1953;;1;1;1;14
18;1;calle;Ruta 302 Km. 8;;1;1;2;53
19;1;calle;Ruta Nac. 305(bº Experimental);;1;1;1;14
20;1;calle;Próspero Garcia 34 Piso 2 Dpto B;;1;1;1;14
21;1;calle;San Juan 2060 Piso 1;;1;1;1;14
22;1;calle;Don Bosco 3381;;1;1;1;14
23;1;avda;Av Belgrano 2020;;1;1;1;14
24;1;calle;San Lorenzo 502 L 3;;1;1;1;14
25;1;calle;Catamarca 2603;;1;1;1;14
26;1;avda;Av De Las Industriasy Cerviño-el Corte;;1;1;2;16
27;1;avda;Av Sarmiento 473;;1;1;8;2
28;1;calle;José Colombres 490;;1;1;1;14
29;1;calle;Ruta 317 Km 21,5-colonia Virginia- La Ramada;;1;1;10;65
30;1;calle;José Gorriti 61(alt Mate De Luna 3400);;1;1;1;14
31;1;calle;Jose Colombres 369;;1;1;1;14
32;1;calle;Lavalle 4007;;1;1;1;14
33;1;calle;Pje A Nougues 1719;;1;1;1;14
34;1;avda;Av Roca 3450;;1;1;1;14
35;1;calle;Padre Roque Correa 1348;;1;1;1;14
36;1;calle;Asuncion 633/av Roca 23/av Roca 2807;;1;1;1;14
37;1;calle;Crisostomo Alvarez 397 Piso 1 Of C;;1;1;1;14
38;1;calle;Lamadrid 377. 1º Piso;;1;1;1;14
39;1;calle;Catamarca 1056;;1;1;1;14
40;1;calle;Maipu 70;;1;1;1;14
41;1;calle;Dentro Predio Ing. Leales;;1;1;9;6
42;1;calle;Lamadrid 2285 1º A - Ciudadela;;1;1;1;14
43;1;calle;Ruta 325 Capitan Caceres Yacuchina;;1;1;7;19
44;1;avda;Av Roca 2575;;1;1;1;14
45;1;calle;San Juan 2388;;1;1;1;14
46;1;calle;Lavalle 941;;1;1;1;14
47;1;calle;B Villafañe 2755;;1;1;1;14
48;1;calle;San Martín 573-2 Piso Of. 14;;1;1;1;14
49;1;calle;Ruta 317 Km 7,5;;1;1;10;65
50;1;calle;Finca Mayo O. Burruyacu;;1;1;10;7
51;1;avda;Av Belgrano 739;;1;1;2;15
52;1;calle;Ruta 38 Alt Km 758;;1;1;7;19
53;1;calle;San Martín 950;;1;1;1;14
54;1;calle;9 De Julio 46;;1;1;3;8
55;1;calle;Autopista Pte Peron Y Circunvalacion-gar Sa;;1;1;1;14
56;1;calle;Las Piedras 1284;;1;1;1;14
57;1;calle;Pje Bertres 230;;1;1;1;14
58;1;calle;San Martín 839-piso 2 Dpto D;;1;1;1;14
59;1;calle;Thames 546;;1;1;1;14
60;1;avda;Av Silvano Bores 730;;1;1;1;14
61;1;calle;Crisostomo Alvarez 1028 Dpto 2;;1;1;1;14
62;1;avda;Av Roca 1198;;1;1;1;14
63;1;calle;20 De Junio 100;;1;1;2;16
64;1;calle;Lucas Cordoba 664;;1;1;1;14
65;1;calle;Miguel Lillo 139;;1;1;1;14
66;1;avda;Av Ejercito Del Norte 94;;1;1;1;14
67;1;avda;Av Independencia 2513;;1;1;1;14
68;1;calle;Junin 510 - Estancia El Azul;;1;1;1;14
69;1;calle;Diego De Villarroel 97-villa 9 De Julio;;1;1;1;14
70;1;avda;Av Independencia 2601;;1;1;1;14
71;1;calle;Ruta 38 Km 735 - Los Guchea;;1;1;4;17
72;1;calle;San Martín 173;;1;1;1;14
73;1;calle;San Juan 269;;1;1;1;14
74;1;calle;Colombia 187;;1;1;5;18
75;1;calle;Anta Muerta 2120;;1;1;5;18
76;1;calle;San Martín 1145;;1;1;1;14
77;1;avda;Av.brigido Terán 250. Bolet.3;;1;1;1;14
78;1;calle;San Juan 3560;;1;1;1;14
79;1;calle;Ruta Nac9 Y 306-acceso Sud;;1;1;1;14
80;1;calle;San Miguel 1235;;1;1;1;14
81;1;avda;Av Mate De Luna 2647/av Mate De Luna 3502;;1;1;1;14
82;1;calle;Autopista Tuc-famailla Km 803;;1;1;1;14
83;1;calle;Lucas Cordoba 1205;;1;1;1;14
84;1;calle;La Rioja 518;;1;1;1;14
85;1;calle;Celedonio Gutierrez 225;;1;1;1;14
86;1;calle;Ruta 301 Km 23.5;;1;1;6;200
87;1;calle;Antartida Argentina 80;;1;1;2;16
88;1;calle;Frias Silva 400;;1;1;1;14
89;1;avda;Av Colon 738/pje Becker 2262;;1;1;1;14
90;1;calle;Corrientes 1453/junin 334;;1;1;1;14
91;1;calle;A Jacques 1150/pje Rio De Janeiro 55;;1;1;1;14
92;1;avda;Av Sarmiento 400;;1;1;13;12
93;1;calle;Rivadavia 1024;;1;1;2;16
94;1;calle;Mexico 3898;;1;1;1;14
95;1;calle;Rivadavia 1651;;1;1;1;14
96;1;calle;Cariola 1778;;1;1;5;35
97;1;avda;Av 2 De Abril 337;;1;1;1;14
98;1;avda;Av Sarmiento 785 - 1º Piso A;;1;1;1;14
99;1;calle;Marcos Paz 563 - 5 Piso A;;1;1;1;14
100;1;calle;La Rioja Al 100;;1;1;1;14
101;1;calle;Buenos Aires 414;;1;1;1;14
102;1;calle;Heredia 630;;1;1;4;17
103;1;calle;A Alsina 3450;;1;1;1;14
104;1;calle;Italia 1231;;1;1;4;17
105;1;calle;Coronel Zelaya 802;;1;1;1;14
106;1;avda;Av Alfonsina Storni 97;;1;1;1;14
107;1;avda;Av J B Teran 252;;1;1;1;14
108;1;calle;Campo De Las Carreras 1536;;1;1;1;14
109;1;calle;Calle Principal;;1;1;16;26
110;1;calle;Congreso Nº 800-hosteria Ex-bco.pcia.;;1;1;15;20
111;1;calle;Ruta 9 Km 1904;;1;1;1;14
112;1;calle;Rioja 330;;1;1;1;14
113;1;calle;Belgrano 265;;1;1;11;23
114;1;calle;San Lorenzo 310;;1;1;5;18
115;1;avda;Av Mitre 733;;1;1;1;14
116;1;calle;San Lorenzo 1453;;1;1;1;14
117;1;calle;Amador Lucero 279;;1;1;1;14
118;1;calle;Ruta 321 Interseccion Ruta 301;;1;1;6;27
119;1;calle;San Lorenzo 562-piso Ep Dpto B;;1;1;1;14
120;1;calle;Jujuy Nº 5015;;1;1;6;83
121;1;barrio;Lote 18;CC La Loma;1;1;1;14
122;1;calle;Venezuela 134;;1;1;1;14
123;1;calle;Mario Bravo 42;;1;1;1;14
124;1;calle;Monteagudo 1577;;1;1;1;14
125;1;calle;Ruta 303 Km 38 - San Agustin;;1;1;2;43
126;1;calle;Cordoba 31;;1;1;1;14
127;1;calle;Viamonte 2264;;1;1;1;14
128;1;calle;Fermin Cariola 485;;1;1;5;18
129;1;avda;Av J B Justo 1420;;1;1;1;14
130;1;calle;24 De Septiembre 898;;1;1;1;14
131;1;calle;"San Juan 984 - Piso 1 ""s""";;1;1;1;14
132;1;calle;Moreno 629;;1;1;1;14
133;1;calle;Entre Rios 828.;;1;1;1;14
134;1;avda;Av Colon 387;;1;1;1;14
135;1;calle;Ruta 6 Km  5.5;;1;3;26;90
136;1;calle;Pje Don Bosco 2929;;1;1;1;14
137;1;calle;Ruta 9 Km 1298;;1;1;3;75
138;1;calle;Constitucion 800;;1;1;3;8
139;1;calle;25 De Mayo 466;;1;1;15;25
140;1;calle;Pringles 1988;;1;1;5;18
141;1;calle;Jujuy 3016;;1;1;1;14
142;1;calle;Ruta 302 Km 6;;1;1;2;15
143;1;calle;Ruta 305 Km 17-las Salinas;;1;1;10;7
144;1;calle;Jujuy 3297;;1;1;1;14
145;1;calle;Delfin Gallo 2831;;1;1;1;14
146;1;calle;Maipu 780;;1;1;1;14
147;1;avda;Av Alem 662;;1;1;1;14
148;1;calle;Amador Lucero 306;;1;1;1;14
149;1;calle;Mendoza 654 Piso 5 Dpto 503;;1;1;1;14
150;1;calle;Lavalle 3147;;1;1;1;14
151;1;calle;Thames 254;;1;1;1;14
152;1;calle;San Martín 171;;1;1;2;15
153;1;calle;Lavalle 1873;;1;1;1;14
154;1;avda;Av Jb Justo 2200;;1;1;1;14
155;1;avda;Av Jb Teran 77;;1;1;1;14
156;1;calle;Colombia 1112;;1;1;1;14
157;1;avda;Av Belgrano 1498;;1;1;1;14
158;1;calle;Mancopa;;1;1;9;6
159;1;calle;Rio Loro;;1;1;10;7
160;1;avda;Av Colon 866;;1;1;1;14
161;1;calle;Cnel Murga 34/36 (alt.av Jb Justo 2600);;1;1;1;14
162;1;avda;Av Gob Del Campo 694/italia 875;;1;1;1;14
163;1;calle;Ing Marconi 33;;1;2;227;0
164;1;calle;Pueyrredon 435/pellegrini 863;;1;1;1;14
165;1;calle;Cerrito 1320 Piso A;;1;23;22;86
166;1;calle;Maipú 652;;1;1;1;14
167;1;avda;Av Francisco De Aguirre 296;;1;1;1;14
168;1;calle;Lamadrid 412-piso 6 Of A;;1;1;1;14
169;1;calle;San Miguel 1885;;1;1;1;14
170;1;calle;Ruta 325 Km 16-yacuchina;;1;1;7;19
171;1;calle;Belisario Roldan 720;;1;1;1;14
172;1;calle;Matheu 10;;1;1;4;17
173;1;calle;Gral San Martín Esquina 12 De Octubre;;1;1;6;30
174;1;calle;San Martín 631 Piso 6;;1;1;1;14
175;1;avda;Av Adolfo De La Vega 695;;1;1;1;14
176;1;calle;General Paz 228;;1;1;119;218
177;1;calle;Ruta 157, Km. 23;;1;1;9;6
178;1;calle;Pje. Boulonge 2466;;1;1;1;14
179;1;calle;Santiago 375;;1;1;4;17
180;1;avda;Av Roca 3001;;1;1;1;14
181;1;calle;Ruta 305 Km 12,5-ex Granja Modelo;;1;1;3;8
182;1;calle;Balcarse 2900 Esquina Jose Hernandez;;1;1;3;36
183;1;calle;Asuncion 1456;;1;1;1;14
184;1;calle;Bolivia 866;;1;1;1;14
185;1;calle;Autopista Jd Peron Km 2;;1;1;2;16
186;1;avda;Av Roca 1531;;1;1;1;14
187;1;avda;Av Mitre 733-av Roca 2525;;1;1;1;14
188;1;calle;San Martín 667 Piso Pa Dpto 1 (galeria);;1;1;1;14
189;1;calle;Ejército Del Norte 2105;;1;1;1;14
190;1;calle;Ing Marconi 863 Bº Matienzo;;1;1;9;6
191;1;calle;Tucuman 155;;1;1;3;8
192;1;avda;Av Saenz Peña 351;;1;1;1;14
193;1;calle;Ruta 38 Acceso A Simoca;;1;1;7;19
194;1;avda;Av Belgrano 3768;;1;1;1;14
195;1;avda;Av Gobernador Del Campo 1157;;1;1;1;14
196;1;calle;San Martín 673(bar Los Pórticos);;1;1;1;14
197;1;avda;Av Roca 425;;1;1;1;14
198;1;calle;Fray C Rodriguez 415;;1;1;6;54
199;1;calle;Cristo Rey 659;;1;1;6;54
200;1;calle;Junin 605;;1;1;1;14
201;1;calle;Autopista Jd Peron Km 3,5;;1;1;2;16
202;1;calle;Emilio Castelar 950;;1;1;1;14
203;1;calle;Ruta 315 Km 5;;1;1;3;82
204;1;calle;Pje Virrey Ceballos 1349;;1;1;1;14
205;1;calle;San Martín 890;;1;1;1;14
206;1;calle;Castelli 837;;1;1;1;14
207;1;calle;Teniente J Auviex 474;;1;1;6;27
208;1;calle;Arturo Illia 120;;1;1;2;16
209;1;avda;Av Democaracia 780;;1;1;1;14
210;1;calle;Ruta De Los Altos;;1;2;24;117
211;1;calle;Rivadavia 184;;1;1;7;19
212;1;calle;Uspallata 80;;1;1;4;17
213;1;calle;Don Bosco 1402;;1;1;1;14
214;1;avda;Av Roca 996;;1;1;1;14
215;1;calle;Pje Vieytes 1520;;1;1;1;14
216;1;calle;Marcos Paz 1888;;1;1;1;14
217;1;calle;Mendoza 250 - Lastenia;;1;1;2;15
218;1;calle;Santiago Del Estero 21;;1;1;119;218
219;1;calle;Ruta Nº 337 Intersec. Ruta Nº 304;;1;1;10;7
220;1;calle;Ameghino 504- Villa Martelli;;1;23;112;212
221;1;avda;Av Alem 1158 Pb;;1;1;1;14
222;1;calle;San Juan 454 Of 4;;1;1;1;14
223;1;calle;Lidoro Quinteros 215;;1;1;13;12
224;1;avda;Av Ejercito Del Norte 498;;1;1;1;14
