id;nombre;provincia
1;Burruyacú;1
2;Capital;1
3;Chicligasta;1
4;Cruz Alta;1
5;Famaillá;1
6;Graneros;1
7;Juan Bautista Alberdi;1
8;La Cocha;1
9;Leales;1
10;Lules;1
11;Monteros;1
12;Río Chico;1
13;Simoca;1
14;Tafí del Valle;1
15;Tafí Viejo;1
16;Trancas;1
17;Yerba Buena;1
18;Aguirre;2
19;Alberdi;2
20;Atamisqui;2
21;Avellaneda;2
22;Banda;2
23;Belgrano;2
24;Capital;2
25;Choya;2
26;Copo;2
27;Figueroa;2
28;General Taboada;2
29;Guasayán;2
30;Jiménez;2
31;Juan F. Ibarra;2
32;Loreto;2
33;Mitre;2
34;Moreno;2
35;Ojo de Agua;2
36;Pellegrini;2
37;Quebrachos;2
38;Río Hondo;2
39;Rivadavia;2
40;Robles;2
41;Salavina;2
42;San Martín;2
43;Sarmiento;2
44;Silípica;2
45;Anta;3
46;Cachi;3
47;Cafayate;3
48;Capital;3
49;Cerrillos;3
50;Chicoana;3
51;General Güemes;3
52;General José de San Martín;3
53;Guachipas;3
54;Iruya;3
55;La Caldera;3
56;La Candelaria;3
57;La Poma;3
58;La Viña;3
59;Los Andes;3
60;Metán;3
61;Molinos;3
62;Orán;3
63;Rivadavia;3
64;Rosario de la Frontera;3
65;Rosario de Lerma;3
66;San Carlos;3
67;Santa Victoria;3
68;Ambato;4
69;Ancasti;4
70;Andalgalá;4
71;Antofagasta de la Sierra;4
72;Belén;4
73;Capayán;4
74;Capital;4
75;El Alto;4
76;Fray Mamerto Esquiú;4
77;La Paz;4
78;Paclín;4
79;Pomán;4
80;Santa María;4
81;Santa Rosa;4
82;Tinogasta;4
83;Valle Viejo;4
