id;empresa;comunicacion
1;1509;1
2;1511;2
3;1511;3
4;1512;4
5;1514;5
6;1514;6
7;1514;7
8;1515;8
9;1516;9
10;1517;10
11;1517;11
12;1517;12
13;1518;13
14;1519;14
15;1521;15
16;1523;16
17;1524;17
18;1524;18
19;1526;19
20;1527;20
21;1527;21
22;1528;22
23;1529;23
24;1530;24
25;1530;25
26;1530;26
27;1531;27
28;1533;28
29;1534;29
30;1535;30
31;1536;31
32;1537;32
33;1537;33
34;1538;34
35;1540;35
36;1541;36
37;1541;37
38;1543;38
39;1543;39
40;1544;40
41;1545;41
42;1546;42
43;1547;43
44;1547;44
45;1548;45
46;1549;46
47;1549;47
48;1550;48
49;1552;49
50;1555;50
51;1555;51
52;1556;52
53;1557;53
54;1557;54
55;1557;55
56;1558;56
57;1560;57
58;1561;58
59;1562;59
60;1562;60
61;1563;61
62;1563;62
63;1564;63
64;1565;64
65;1565;65
66;1566;66
67;1566;67
68;1567;68
69;1568;69
70;1569;70
71;1569;71
72;1570;72
73;1571;73
74;1572;74
75;1574;75
76;1574;76
77;1575;77
78;1576;78
79;1576;79
80;1577;80
81;1579;81
82;1579;82
83;1580;83
84;1580;84
85;1581;85
86;1581;86
87;1581;87
88;1582;88
89;1583;89
90;1583;90
91;1583;91
92;1584;92
93;1586;93
94;1587;94
95;1589;95
96;1592;96
97;1593;97
98;1593;98
99;1594;99
100;1594;100
101;1595;101
102;1596;102
103;1598;103
104;1599;104
105;1601;105
106;1601;106
107;1601;107
108;1602;108
109;1603;109
110;1604;110
111;1605;111
112;1605;112
113;1606;113
114;1606;114
115;1607;115
116;1607;116
117;1608;117
118;1608;118
119;1610;119
120;1610;120
121;1610;121
122;1611;122
123;1612;123
124;1613;124
125;1613;125
126;1614;126
127;1614;127
128;1615;128
129;1615;129
130;1615;130
131;1616;131
132;1617;132
133;1617;133
134;1617;134
135;1618;135
136;1618;136
137;1619;137
138;1619;138
139;1620;139
140;1621;140
141;1622;141
142;1623;142
143;1624;143
144;1625;144
145;1625;145
146;1627;146
147;1628;147
148;1628;148
149;1629;149
150;1629;150
151;1630;151
152;1631;152
153;1631;153
154;1632;154
155;1632;155
156;1633;156
157;1634;157
158;1634;158
159;1636;159
160;1637;160
161;1638;161
162;1639;162
163;1639;163
164;1640;164
165;1643;165
166;1643;166
167;1644;167
168;1645;168
169;1645;169
170;1647;170
171;1649;171
172;1650;172
173;1651;173
174;1651;174
175;1652;175
176;1652;176
177;1652;177
178;1653;178
179;1656;179
180;1657;180
181;1658;181
182;1658;182
183;1659;183
184;1660;184
185;1662;185
186;1663;186
187;1663;187
188;1664;188
189;1664;189
190;1665;190
191;1666;191
192;1667;192
193;1667;193
194;1668;194
195;1668;195
196;1671;196
197;1671;197
198;1673;198
199;1674;199
200;1674;200
201;1676;201
202;1676;202
203;1677;203
204;1677;204
205;1678;205
206;1679;206
207;1679;207
208;1680;208
209;1681;209
210;1681;210
211;1682;211
212;1683;212
213;1684;213
214;1686;214
215;1687;215
216;1688;216
217;1689;217
218;1689;218
219;1690;219
220;1692;220
221;1693;221
222;1694;222
223;1695;223
224;1696;224
225;1696;225
226;1697;226
227;1698;227
228;1698;228
229;1699;229
230;1700;230
231;1701;231
232;1702;232
233;1702;233
234;1703;234
