Id;nombre;departamento
1;7 de Abril (Siete de Abril);1
2;Barrio San Jorge;1
3;El Chañar;1
4;El Naranjo;1
5;Garmendia;1
6;La Ramada;1
7;Macomitas;1
8;Piedrabuena;1
9;Villa Benjamín Aráoz;1
10;Villa Burruyacú;1
11;Villa Padre Monti;1
12;San Miguel de Tucumán (Est. Tucumán);2
13;Alpachiri;3
14;Alto Verde;3
15;Arcadia;3
16;Barrio San Roque;3
17;Concepción;3
18;Iltico;3
19;La Trinidad;3
20;Medinas;3
21;Alderetes;4
22;Banda del Río Salí;4
23;Colombres;4
24;Colonia Mayo - Barrio La Milagrosa;4
25;Delfín Gallo;4
26;El Bracho;4
27;La Florida;4
28;Las Cejas;4
29;Los Ralos;4
30;Pacará;4
31;Ranchillos;4
32;San Andrés;4
33;Barrio Casa Rosada;5
34;Campo de Herrera;5
35;Famaillá;5
36;Ingenio Fronterita;5
37;Graneros;6
38;Lamadrid;6
39;Taco Ralo;6
40;Juan Bautista Alberdi;7
41;Villa Belgrano;7
42;La Cocha;8
43;San José de La Cocha;8
44;Bella Vista;9
45;Estación Aráoz;9
46;Los Puestos;9
47;Manuel García Fernández;9
48;Pala Pala;9
49;Río Colorado;9
50;Santa Rosa de Leales;9
51;Villa de Leales;9
52;Villa Fiad (- Ingenio Leales);9
53;Barrio San Felipe;10
54;El Manantial;10
55;Ingenio San Pablo;10
56;La Reducción;10
57;Lules;10
58;Acheral;11
59;Capitán Cáceres;11
60;Monteros;11
61;Pueblo Independencia (Santa Rosa y Los Rojo);11
62;Río Seco;11
63;Santa Lucía;11
64;Sargento Moya;11
65;Soldado Maldonado;11
66;Teniente Berdina;11
67;Villa Quinteros;11
68;Aguilares;12
69;Los Sarmientos;12
70;Río Chico;12
71;Santa Ana;12
72;Villa Clodomiro Hileret ;12
73;Atahona;13
74;Monteagudo;13
75;Nueva Trinidad;13
76;Santa Cruz;13
77;Simoca;13
78;Villa Chicligasta;13
79;Amaicha del Valle;14
80;Colalao del Valle;14
81;El Mollar;14
82;Tafí del Valle;14
83;Barrio El Cruce;15
84;Barrio Lomas de Tafí;15
85;Barrio Mutual San Martín;15
86;Barrio Parada 14;15
87;Barrio U.T.A. II;15
88;Diagonal Norte (- Luz y Fuerza - Los Pocitos - Villa Nueva Italia);15
89;El Cadillal;15
90;Tafí Viejo;15
91;Villa Las Flores;15
92;Villa Mariano Moreno (- El Colmenar);15
93;Choromoro;16
94;San Pedro de Colalao;16
95;Villa de Trancas;16
96;Barrio San José III;17
97;Villa Carmela (Cebil Redondo);17
98;Yerba Buena (- Marcos Paz);17
99;Argentina;18
100;Casares;18
101;Malbrán;18
102;Villa General Mitre (Est. Pinto);18
103;Campo Gallo;19
104;Coronel Manuel L. Rico;19
105;Donadeu;19
106;Sacháyoj;19
107;Santos Lugares;19
108;Estación Atamisqui;20
109;Medellín;20
110;Villa Atamisqui;20
111;Colonia Dora;21
112;Herrera;21
113;Icaño;21
114;Lugones;21
115;Real Sayana;21
116;Villa Mailín;21
117;Abra Grande;22
118;Antajé;22
119;Ardiles;22
120;Cañada Escobar;22
121;Chaupi Pozo;22
122;Clodomira;22
123;Huyamampa;22
124;La Aurora;22
125;La Banda;22
126;La Dársena;22
127;Los Quiroga;22
128;Los Soria;22
129;Simbolar;22
130;Tramo 16;22
131;Tramo 20;22
132;Bandera;23
133;Cuatro Bocas;23
134;Fortín Inca;23
135;Guardia Escolta;23
136;El Deán;24
137;El Mojón;24
138;El Zanjón;24
139;Los Cardozos;24
140;Maco;24
141;Maquito;24
142;Morales;24
143;Puesto de San Antonio;24
144;San Pedro;24
145;Santa María;24
146;Santiago del Estero;24
147;Vuelta de la Barranca;24
148;Yanda;24
149;Ancaján;25
150;Choya;25
151;Estación La Punta;25
152;Frías;25
153;Laprida;25
